state,constituency,image,result,votes,margin,name,party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/IDAMA-2024-7814.jpg,lost,410,-700721,I V PAKKIR REDDY,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KULUR-2024-7597.jpg,lost,430,-700701,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BCRAM-2024-7780.jpg,lost,472,-700659,B C RAMANADHA AREDDY,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GAJUL-2024-8388.jpg,lost,486,-700645,GAJULA SHALIMIYA,Anna YSR Congress Party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VAKAT-2024-9005.jpg,lost,556,-700575,CHANDINI REDDY VAKATI,Liberation Congress Party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SIDDA-2024-7853.jpg,lost,605,-700526,PANDU RANGA YADAV SIDDAPU,Samajwadi Party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VIJAY-2024-7205.jpg,lost,641,-700490,VIJAYA BHASKAR REDDYPOGU,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/YELAM-2024-8978.jpg,lost,642,-700489,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BHUMA-2024-8802.jpg,lost,646,-700485,BHUMA VEERA BHADRA REDDY,Navarang Congress Party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ANISE-2024-8633.jpg,lost,680,-700451,NAGESWARA RAO,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/UPPUS-2024-7218.jpg,lost,791,-700340,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/CHITT-2024-8911.jpg,lost,1268,-699863,C SURENDRA NATHA REDDY,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BRAHM-2024-8267.jpg,lost,1272,-699859,BRAHMANANDA REDDY K,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/CHPMA-2024-6908.jpg,lost,421,-700710,CH P MALLESWARUDU,Independent
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/THOKA-2024-20240429074838.jpg,lost,285,-807711,THOKALA NAGA RAJU,All India Forward Bloc
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BALAG-2024-8292.jpg,lost,5240,-702103,BALAGAM NAYAKAR,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KETHA-2024-20240423033016.jpg,lost,3145,-704198,KETHA SREENU,Independent
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PAPPU-2024-20240429075643.jpg,lost,332,-807664,PAPPULA SAMBASIVA RAO,Navarang Congress Party
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PASUP-2024-8514.jpg,lost,356,-807640,PASUPULETI PICHAIAH,National Nava Kranthi Party
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VENKA-2024-7917.jpg,lost,388,-807608,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party
Andhra Pradesh,Rajampet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ABBAV-2024-20240424080128.jpg,lost,12363,-632481,ABBAVARAM UGENDRA,Bahujan Samaj Party
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/1713603699IMG20240420142943.jpg,lost,723,-807273,ABDUL RAJAK SHAIK,Independent
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SUBBA-2024-20240429075005.jpg,lost,1051,-806945,SUBBARAO CHALLA,Independent
